"臺中市受保護樹木公告清單","","","","",""
"","12.0","1306001.0","茄苳","竹林段竹林小段","957-2"
"","13.0","1309001.0","榕樹","沙鹿段沙鹿小段","463、463-1"
"","14.0","1310001.0","榕樹","南勢坑段南勢坑小段","222、222-2"
"","15.0","1310002.0","榕樹","南勢坑段南勢坑小段","263.0"
"","16.0","1313001.0","榕樹","南勢坑段埔子小段","933.0"
"","17.0","1315001.0","榕樹","公館北段","338.0"
"","18.0","1317002.0","榕樹","鹿寮段","168.0"
"","19.0","1319001.0","雀榕","北勢坑段北勢坑小段","608-20"
"新社區","1.0","1901001.0","樟樹","神木段","499.0"
"","2.0","1901002.0","樟樹","神木段","73.0"
"","3.0","1901003.0","黑松","大南段大南小段","109.0"
"","4.0","1901004.0","樟樹","大南段大南小段","109.0"
"","5.0","1901005.0","檸檬桉","大南段大南小段","109-580"
"","6.0","1901006.0","琉球松","大南段大南小段","109-580"
"","7.0","1901007.0","南洋含笑","大南段大南小段","109.0"
"","8.0","1901008.0","楓香","大南段大南小段","109.0"
"","9.0","1901009.0","楓香","大南段大南小段","109.0"
"","10.0","1901011.0","菲律賓紫檀","大南段大南小段","109-1"
"","11.0","1901013.0","鐵刀木","大南段大南小段","109-2"
"","12.0","1901014.0","鳳凰木","大南段大南小段","109-2"
"","13.0","1901015.0","銀樺","大南段大南小段","109-2"
"","14.0","1901017.0","竹柏","大南段大南小段","109.0"
"","15.0","1901018.0","竹柏","大南段大南小段","109.0"
"","16.0","1901019.0","竹柏","大南段大南小段","109.0"
"","17.0","1903001.0","茄苳","水底寮段上水底寮小段","350-21"
"","18.0","1909001.0","樟樹","七分段七分小段","51.0"
"","19.0","1909002.0","樟樹","七分段七分小段","51.0"
"","20.0","1909003.0","樟樹","七分段七分小段","51.0"
"","21.0","1909004.0","樟樹","七分段七分小段","51.0"
"","22.0","1909005.0","雀榕","七分段七分小段","85-3"
"","23.0","1910001.0","樟樹","復盛段","586.0"
"","24.0","1911001.0","木麻黃","國校段","384.0"
"","25.0","1911002.0","羅漢松","國校段","384.0"
"東勢區","1.0","1002001.0","榕樹","下新段","866"
"東勢區","2.0","1002002.0","榕樹","下新段","866"
"","3.0","1002003.0","榕樹","下新段","866"
"","4.0","1005001.0","臺灣櫸","東勢段中嵙小段","554-2"
"","5.0","1005002.0","樟樹","東勢段中嵙小段","396.0"
"","6.0","1005003.0","茄苳","東勢段中嵙小段","385-4"
"","7.0","1005004.0","茄苳","東勢段中嵙小段","385-4、385-6"
"","8.0","1005005.0","印度紫檀","東勢段中嵙小段","385.0"
"","9.0","1009001.0","樟樹","石壁坑段","10、15"
"","10.0","1015001.0","樟樹","石圍墻段石圍墻小段","967.0"
"","11.0","1015002.0","臺灣魚藤","石圍墻段石圍墻小段","975.0"
"","12.0","1015003.0","樟樹","石圍墻段石圍墻小段","975.0"
"","13.0","1015004.0","芒果","石圍墻段石圍墻小段","94-1、94-3"
"","14.0","1016001.0","臺灣櫸","石圍墻段埤頭山小段","113"
"","15.0","1016002.0","榕樹","石圍墻段埤頭山小段","9031-1"
"","16.0","1016003.0","臺灣魚藤","石圍墻段石圍墻小段","1200.0"
"","17.0","1016004.0","樟樹","石圍墻段石圍墻小段","1200.0"
"","18.0","1018001.0","樟樹","詒新段","151、154"
"","19.0","1018002.0","楓香","詒新段","154.0"
"","20.0","1022001.0","榕樹","六合段","146.0"
"","21.0","1022002.0","榕樹","泰昌段","1410、1413、1414、1421"
"","22.0","1023001.0","楓香","大茅埔段","9.0"
"","23.0","1023003.0","榕樹","大茅埔段","1416.0"
"","24.0","1023004.0","榕樹","大茅埔段","9015-40、9016-8"
"","25.0","1023005.0","榕樹","大茅埔段","1411-1"
"","26.0","1025001.0","榕樹","石圍墻段石圍墻小段","9014-2"
"","27.0","1025002.0","榕樹","石圍墻段石圍墻小段","9014-2"
"潭子區","1.0","1702002.0","榕樹","摘星段","1226、1227、1273、1312"
"","2.0","1702003.0","茄苳","大埔厝段大埔厝小段","267-36"
"","3.0","1702004.0","榕樹","摘星段","1273、1274"
"","4.0","1703001.0","榕樹","僑忠段","443.0"
"","5.0","1703002.0","榕樹","僑忠段","443.0"
"","6.0","1703003.0","樟樹","僑忠段","439-1、443"
"","7.0","1704001.0","榕樹","東寶六段","133-1"
"","8.0","1704002.0","榕樹","東寶六段","133-1"
"","9.0","1704003.0","榕樹","東寶六段","133-1、137"
"","10.0","1704004.0","榕樹","東寶六段","136.0"
"","11.0","1704005.0","樟樹","東寶七段","1134、1332"
"","12.0","1704006.0","樟樹","東寶七段","1134.0"
"","13.0","1705001.0","榕樹","家福段","1326.0"
"","14.0","1707001.0","榕樹","祥和段","831、832"
"","15.0","1707002.0","榕樹","祥和段","831、832"
"","16.0","1707003.0","榕樹","祥和段","832、833"
"","17.0","1708001.0","榕樹","聚興段新興小段","130.0"
"","18.0","1708002.0","木麻黃","聚興段新興小段","130.0"
"","19.0","1708003.0","榔榆","聚興段","836-7"
"潭子區","20.0","1708004.0","榔榆","聚興段","836-7"
"","21.0","1709001.0","榕樹","嘉豐段","277、280"
"","22.0","1709002.0","芒果","嘉仁段","596.0"
"","23.0","1709003.0","榕樹","嘉豐段","493、500"
"","24.0","1709004.0","榕樹","嘉仁段","931.0"
"","25.0","1710001.0","樟樹","聖宮段","517.0"
"","26.0","1710002.0","九芎","聖宮段","1046-1"
"","27.0","1710003.0","榕樹","聖宮段","1046.0"
"","28.0","1710004.0","榕樹","大新段","26"
"","29.0","1710008.0","龍眼","大新段","626.0"
"","30.0","1710009.0","朴樹","大新段","626.0"
"","31.0","1710010.0","樟樹","大新段","543.0"
"","32.0","1710011.0","榕樹","大新段","611.0"
"","33.0","1710012.0","榕樹","大新段","611.0"
"","34.0","1710013.0","龍眼","大新段","626.0"
"","35.0","1711001.0","茄苳","聚興段","875-17"
"","36.0","1711002.0","鳳凰木","聚興段","459.0"
"","37.0","1711003.0","榕樹","聚興段新興小段","160、161"
"","38.0","1711004.0","榕樹","聚興段新興小段","160.0"
"","39.0","1711005.0","樟樹","聚興段","473-68、473-71"
"","40.0","1711006.0","芒果","聚興段","642-3"
"","41.0","1713002.0","榕樹","工區段","631.0"
"","42.0","1713003.0","榕樹","工區段","631.0"
"","43.0","1713004.0","榕樹","工區段","631.0"
"","44.0","1714001.0","龍眼","潭興段","629.0"
"","45.0","1714002.0","樟樹","潭陽段","791、792"
"","46.0","1715001.0","荔枝","頭家段","112.0"
"","47.0","1715002.0","荔枝","頭家段","112.0"
"清水區","1.0","1202001.0","榕樹","銀聯段","372-20"
"","2.0","1204001.0","榕樹","鰲峰段","169"
"","3.0","1204002.0","榕樹","鰲峰段","169"
"","4.0","1213001.0","榕樹","武秀段","1367、1379-1"
"","5.0","1213002.0","榕樹","武秀段","1064.0"
"","6.0","1213003.0","雀榕","武秀段","383、404"
"","7.0","1215001.0","圓滑番荔枝","光華段","506.0"
"","8.0","1215002.0","榕樹","光華段","506.0"
"","9.0","1215003.0","榕樹","光華段","506.0"
"","10.0","1215004.0","榕樹","光華段","506.0"
"","11.0","1215005.0","榕樹","光華段","506.0"
"","12.0","1215006.0","榕樹","光華段","506.0"
"","13.0","1215009.0","榕樹","光華段","506.0"
"","14.0","1215010.0","榕樹","光華段","506、517、755"
"","15.0","1215011.0","榕樹","光華段","506.0"
"","16.0","1215012.0","榕樹","光華段","506.0"
"","17.0","1215013.0","榕樹","光華段","506.0"
"清水區","18.0","1215014.0","榕樹","光華段","506.0"
"","19.0","1215015.0","榕樹","光華段","506.0"
"","20.0","1215016.0","榕樹","光華段","506.0"
"","21.0","1215017.0","榕樹","光華段","506.0"
"","22.0","1215018.0","榕樹","光華段","506.0"
"","23.0","1215019.0","榕樹","光華段","506.0"
"","24.0","1215020.0","榕樹","光華段","506.0"
"","25.0","1215021.0","榕樹","光華段","506.0"
"","26.0","1215022.0","榕樹","光華段","506.0"
"","27.0","1215023.0","榕樹","光華段","506.0"
"","28.0","1215024.0","榕樹","光華段","506.0"
"","29.0","1217001.0","榕樹","海濱段","1608.0"
"","30.0","1218001.0","榕樹","高美中段","141、145、1259"
"","31.0","1218002.0","榕樹","高美中段","141、145、1259"
"","32.0","1218003.0","榕樹","高美中段","141、145、1259"
"","33.0","1218004.0","榕樹","高美中段","141、145、1259"
"","34.0","1218005.0","榕樹","高美中段","141、145、1259"
"","35.0","1223001.0","榔榆","朝天段","461.0"
"","36.0","1223002.0","榕樹","臨海段","270.0"
"","37.0","1223003.0","榕樹","臨海段","270.0"
"","38.0","1226001.0","木棉","甲南段","1423、1425"
"","39.0","1227002.0","芒果","菁埔南段","900.0"
"","40.0","1234001.0","榕樹","槺榔段","792-7"
"","41.0","1231001.0","朴樹","海濱段","172-3"
"","42.0","1231002.0","朴樹","海濱段","172-3"
"","43.0","1231003.0","朴樹","海濱段","172-3"
"","44.0","1231004.0","朴樹","裕嘉段","847.0"
"","45.0","1232001.0","榕樹","清水段清水小段","55-29"
"","46.0","1232002.0","榕樹","清水段清水小段","55-29"
"龍井區","1.0","2505001.0","榕樹","竹泉段","175-1、175-3"
"","2.0","2506001.0","榕樹","忠和段","95、2243"
"","3.0","2509001.0","榕樹","新庄段","505.0"
"","4.0","2512002.0","榕樹","龍田段","1294.0"
"","5.0","2512003.0","榕樹","龍田段","1295.0"
"","6.0","2512005.0","榕樹","龍田段","1295.0"
"","7.0","2512006.0","榕樹","龍田段","1294.0"
"","8.0","2512007.0","榕樹","龍田段","1294.0"
"","9.0","2514001.0","榕樹","龍目井段龍目井小段","87-1"
"","10.0","2514002.0","榕樹","龍目井段龍目井小段","217"
"","11.0","2514003.0","雀榕","龍目井段水裡社小段","99、477"
"","12.0","2516001.0","榕樹","龍目井段水師寮小段","48-1"
