"臺中市受保護樹木公告清單","","","","",""
"","41","0216003","鳳凰木","立德段四小段","1-60"
"","42","0216004","木棉","建國段四小段","50.0"
"","43","0217001","鳳凰木","旱溪段","223.0"
"","44","0217002","鳳凰木","旱溪段","223.0"
"","45","0217003","榕樹","旱溪段","223.0"
"","46","0217004","樟樹","旱溪段","223.0"
"","47","0217005","榕樹","旱溪段","223.0"
"中區","1","0101001","榕樹","仁愛段三小段","14-80"
"","2","0101003","芒果","中華段六小段","5.0"
"","3","0101004","榕樹","中華段六小段","6-17"
"","4","0102001","樟樹","中墩段六小段","23.0"
"","5","0106001","芒果","柳川段五小段","28.0"
"","6","0107001","榕樹","建國段五小段","1-2"
"","7","0107002","鳳凰木","建國段五小段","1-2"
"","8","0107003","榕樹","建國段四小段","47.0"
"","9","0107004","茄苳","綠川段二小段","25.0"
"","10","0107005","茄苳","綠川段二小段","25.0"
"中區","11","0107007","榕樹","建國段一小段","14-14"
"","12","0107008","榕樹","建國段一小段","7-1"
"霧峰區","1","2604002.0","榕樹","新厝段","1105.0"
"","2","2604003.0","雀榕","農試所段","355.0"
"","3","2604004.0","茄苳","峰谷段","854.0"
"","4","2605001.0","榕樹","北柳段","325.0"
"","5","2608001.0","榕樹","地利段","1065.0"
"","6","2608002.0","榕樹","地利段","1065.0"
"","7","2608003.0","榕樹","地利段","1143.0"
"","8","2609001.0","榕樹","豐東段","738.0"
"","9","2612001.0","菲律賓紫檀","新生段","1192.0"
"","10","2612002.0","榕樹","新生段","1192.0"
"","11","2612003.0","榕樹","新生段","1192.0"
"","12","2612004.0","大葉桃花心木","新生段","1192.0"
"","13","2612005.0","龍柏","新生段","1192.0"
"","14","2612006.0","大葉桃花心木","新生段","1192.0"
"","15","2613001.0","榕樹","新厝段","877.0"
"","16","2613002.0","榕樹","新厝段","977.0"
"","17","2616001.0","小葉桃花心木","霧峰段北溝小段","5-977"
"","18","2618001.0","樟樹","豐正段","196.0"
"","19","2619001.0","樟樹","霧峰段霧峰小段","21-18"
"","20","2620001.0","榕樹","農試所段","703-2"
"","21","2620002.0","榕樹","農試所段","703-2"
"","22","2620003.0","芒果","舊正東段","485.0"
"","23","2620004.0","茄苳","舊正東段","509.0"
"北區","1","0503001","榕樹","後壠子段","187-16"
"","2","0503002","榕樹","賴厝廍段","112.0"
"","3","0503003","榕樹","賴厝廍段","112.0"
"","4","0503004","榕樹","賴厝廍段","112.0"
"","5","0503005","榕樹","賴厝廍段","112.0"
"","6","0503006","榕樹","賴厝廍段","112.0"
"","7","0503007","榕樹","賴厝廍段","112.0"
"","8","0503008","朴樹","賴厝廍段","114-66"
"","9","0504001","山黃麻","水源段","310-19"
"","10","0506001","榕樹","文正段","109-173"
"","11","0506002","芒果","文正段","110-11"
"","12","0506003","榕樹","文正段","111-16"
"","13","0512001","茄苳","邱厝子段","155-5"
"","14","0512002","榕樹","邱厝子段","257-3"
"","15","0512003","榕樹","邱厝子段","113.0"
"","16","0512004","榕樹","邱厝子段","112.0"
"","17","0512005","榕樹","邱厝子段","257-3"
"","18","0512006","榕樹","邱厝子段","261-32"
"","19","0512007","榕樹","邱厝子段","155-5"
"","20","0512008","榕樹","邱厝子段","155-5"
"北區","21","0512009","榕樹","邱厝子段","257-3"
"","22","0512010","榕樹","邱厝子段","257-3"
"","23","0512011","榕樹","邱厝子段","258-233"
"","24","0512012","榕樹","邱厝子段","257-3"
"","25","0512013","榕樹","邱厝子段","257-3"
"","26","0512014","榕樹","邱厝子段","257-3"
"","27","0512015","榕樹","邱厝子段","108.0"
"","28","0512016","榕樹","邱厝子段","108.0"
"","29","0512017","榕樹","邱厝子段","108.0"
"","30","0512018","榕樹","邱厝子段","108.0"
"","31","0512019","榕樹","邱厝子段","108.0"
"","32","0512020","榕樹","邱厝子段","108.0"
"","33","0512021","榕樹","邱厝子段","108.0"
"","34","0512022","榕樹","邱厝子段","108.0"
"","35","0512023","榕樹","邱厝子段","108.0"
"","36","0516001","榕樹","錦村段","185.0"
"","37","0519001","榕樹","賴厝廍段","203-17"
"","38","0519002","榕樹","賴厝廍段","205-3"
"","39","0519003","荔枝","乾溝子段","92-183"
"","40","0520001","芒果","邱厝子段","7-3"
"","41","0520004","榕樹","邱厝子段","4-3"
"","42","0520005","雀榕","邱厝子段","54-25"
"","43","0520006","朴樹","邱厝子段","54-25"
"","44","0522001","榕樹","乾溝子段","104.0"
"","45","0522002","榕樹","乾溝子段","108.0"
"","46","0522004","榕樹","乾溝子段","180-5"
"","47","0524001","樟樹","水源段","118.0"
"","48","0524002","樟樹","水源段","118.0"
"","49","0525001","榕樹","水源段","3-28"
"","50","0525002","榕樹","水源段","90-5"
"","51","0525003","榕樹","水源段","90-5"
"","52","0525004","榕樹","水源段","90-5"
"","53","0525005","榕樹","水源段","90-5"
"","54","0525006","榕樹","水源段","90-5"
"","55","0525007","榕樹","水源段","90.0"
"","56","0525009","榕樹","水源段","186.0"
"","57","0525010","榕樹","水源段","186.0"
"","58","0525013","榕樹","水源段","186-4"
"","59","0525014","榕樹","水源段","186-9"
"","60","0525015","榕樹","水源段","186-9"
"","61","0525016","榕樹","水源段","186-4"
"","62","0525017","榕樹","水源段","186-9"
"","63","0525018","榕樹","水源段","186-9"
"","64","0525019","爪哇合歡","水源段","69.0"
"","65","0525020","榕樹","水源段","69.0"
"","66","0525021","柚木","水源段","69.0"
"北區","67","0525022","榕樹","水源段","69.0"
"","68","0525023","榕樹","水源段","69.0"
"","69","0525024","金龜樹","水源段","69.0"
"","70","0525025","金龜樹","水源段","69.0"
"","71","0525026","九芎","水源段","69.0"
"","72","0525027","木麻黃","水源段","69.0"
"","73","0525028","木麻黃","水源段","69.0"
"","74","0525029","金龜樹","水源段","69.0"
"","75","0525030","榕樹","水源段","69.0"
"","76","0525031","芒果","水源段","69.0"
"","77","0525032","黃連木","水源段","69.0"
"","78","0525033","破布子","水源段","69.0"
"","79","0525034","黃連木","水源段","69.0"
"","80","0525035","榕樹","水源段","69.0"
"","81","0525036","金龜樹","水源段","69.0"
"","82","0525037","榕樹","水源段","69.0"
"","83","0525038","雨豆樹","水源段","69.0"
"","84","0525039","榕樹","水源段","69.0"
"","85","0525040","金龜樹","水源段","69.0"
"","86","0525041","榕樹","水源段","69.0"
"","87","0525042","鳳凰木","水源段","69.0"
"","88","0525043","大葉桉","水源段","69.0"
"","89","0525044","鐵刀木","水源段","69.0"
"","90","0525045","榕樹","水源段","69.0"
"","91","0525046","榕樹","水源段","69.0"
"","92","0525047","火焰木","水源段","69.0"
"","93","0525048","龍柏","水源段","69.0"
"","94","0525049","龍柏","水源段","69.0"
"","95","0525050","金龜樹","水源段","69.0"
"","96","0525051","鳳凰木","水源段","69.0"
"","97","0525052","九芎","水源段","69.0"
"","98","0525053","羅漢松","水源段","69.0"
"","99","0525054","羅比親王海棗","水源段","69.0"
"","100","0525055","樟樹","水源段","69.0"
"","101","0525056","榕樹","水源段","69.0"
"","102","0525057","雀榕","水源段","69.0"
"","103","0525058","竹柏","水源段","69.0"
"","104","0525059","榕樹","水源段","69.0"
"","105","0525060","瓊崖海棠","水源段","69.0"
"","106","0525061","榕樹","水源段","69.0"
"","107","0525062","榕樹","水源段","69.0"
"","108","0525063","榕樹","水源段","69.0"
"","109","0525064","榕樹","水源段","69.0"
"","110","0525065","榕樹","水源段","69.0"
"","111","0525066","榕樹","水源段","69.0"
"","112","0525067","樟樹","水源段","69.0"
"北區","113","0525068","楓香","水源段","69.0"
"","114","0525069","楓香","水源段","69.0"
"","115","0525070","黑松","水源段","69.0"
"","116","0525071","芒果","水源段","69.0"
"","117","0525072","榕樹","水源段","69.0"
"","118","0525073","榕樹","水源段","69.0"
"","119","0525074","榕樹","水源段","69.0"
"","120","0525075","銀樺","水源段","69.0"
"","121","0525076","銀樺","水源段","69.0"
"","122","0525077","鐵刀木","水源段","69.0"
"","123","0525078","鐵刀木","水源段","69.0"
"","124","0525079","金龜樹","水源段","69.0"
"","125","0525080","茄苳","水源段","69.0"
"","126","0525081","茄苳","水源段","69.0"
"","127","0525082","榕樹","水源段","69.0"
"","128","0525083","榕樹","水源段","69.0"
"","129","0525084","樟樹","水源段","69.0"
"","130","0526001","大葉桃花心木","錦村段","257-92"
"","131","0526002","榕樹","錦村段","135.0"
"","132","0526003","榕樹","錦村段","135.0"
"","133","0526004","榕樹","水源段","131.0"
"","134","0526005","檸檬桉","水源段","145-2"
"","135","0526006","檸檬桉","水源段","145-14"
"","136","0526007","榕樹","水源段","183.0"
"","137","0526008","朴樹","水源段","186-9"
"","138","0526009","榕樹","水源段","186-9"
"","139","0526010","榕樹","水源段","186-9"
"","140","0527001","榕樹","賴厝廍段","254-1"
"","141","0527002","榕樹","賴厝廍段","84.0"
"","142","0527003","榕樹","賴厝廍段","255-1"
"","143","0527004","龍眼","賴厝廍段","259.0"
"","144","0527005","榕樹","賴厝廍段","167-2"
"","145","0531001","榕樹","賴厝廍段","412-9"
"","146","0531002","榕樹","賴厝廍段","305-4"
"","147","0533001","芒果","水源段","337.0"
"","148","0533002","芒果","水源段","337.0"
"","149","0533003","榕樹","水源段","358-39"
"西屯區","1","0606001","茄苳","下石碑段","397.0"
"","2","0606002","茄苳","下石碑段","397.0"
"","3","0607001","木麻黃","下石碑段","1306.0"
"","4","0607002","榕樹","下石碑段","1320.0"
"","5","0607003","茄苳","下石碑段","1302"
"","6","0607004","茄苳","下石碑段","1299.0"
"","7","0607005","木麻黃","下石碑段","1299.0"
"","8","0608002","榕樹","永安段","463.0"
"西屯區","9","0608003","榕樹","永安段","629-6"
"","10","0608004","榕樹","永安段","963.0"
"","11","0608005","榕樹","永安段","971-4"
"","12","0609001","榕樹","西屯段","2643-12"
"","13","0611001","榕樹","福星段","229.0"
"","14","0611002","菩提樹","福星段","229.0"
"","15","0611003","茄苳","西屯段","1170.0"
"","16","0612001","大葉桉","西屯段","44-2"
"","17","0612002","鳳凰木","西屯段","44-2"
"","18","0612003","榕樹","西屯段","7-6"
"","19","0612004","榕樹","西屯段","257.0"
"","20","0612005","榕樹","西屯段","257.0"
"","21","0612006","榕樹","西屯段","257.0"
"","22","0612007","榕樹","西屯段","2981-1"
"","23","0612008","榕樹","西屯段","2784.0"
"","24","0612009","榕樹","西屯段","2784.0"
"","25","0612010","榕樹","西屯段","2798.0"
"","26","0612011","榕樹","西屯段","2798.0"
"","27","0614001","茄苳","中義段","844-1"
"","28","0614002","茄苳","何厝段","205-5"
"","29","0614003","茄苳","何安段","677.0"
"","30","0618001","茄苳","何安段","289.0"
"","31","0618002","榕樹","何安段","254-1"
"","32","0622001","榕樹","協成段","332.0"
"","33","0622002","榕樹","協仁段","244"
"","34","0622004","樟樹","國安段","570.0"
"","35","0623001","榕樹","東林段","111.0"
"","36","0623002","芒果","東林段","155.0"
"","37","0623003","榕樹","東林段","558.0"
"","38","0626001","茄苳","中正段","267-1"
"","39","0626003","榕樹","惠國段","7.0"
"","40","0626005","榕樹","惠國段","19.0"
"","41","0626007","榕樹","惠國段","49.0"
"","42","0626008","榕樹","惠國段","49.0"
"","43","0626009","刺桐","惠國段","133.0"
"","44","0627002","榕樹","廣順段","253.0"
"","45","0627003","榕樹","廣順段","255.0"
"","46","0627004","芒果","廣順段","221.0"
"","47","0627005","芒果","廣順段","221.0"
"","48","0627006","芒果","廣順段","221.0"
"","49","0627007","榕樹","廣昌段","801.0"
"","50","0627008","榕樹","廣順段","134.0"
"","51","0627009","榕樹","廣順段","134.0"
"","52","0627010","黑松","廣順段","253.0"
"","53","0627011","榕樹","廣昌段","224-2"
"","54","0627012","榕樹","廣昌段","226-5"
"西屯區","55","0627013","榕樹","廣昌段","226-5"
"","56","0627014","榕樹","廣昌段","226-5"
"","57","0627015","榕樹","廣順段","521.0"
"","58","0627016","榕樹","廣順段","447-4"
"","59","0627018","朴樹","廣明段","63-10"
"","60","0627019","榕樹","廣明段","63-10"
"","61","0627021","白玉蘭","廣明段","124"
"","62","0627022","榕樹","廣昌段","173.0"
"","63","0629001","榕樹","順安段","105-2"
"","64","0629002","榕樹","順安段","52.0"
"","65","0629003","榕樹","信安段","583.0"
"","66","0629004","榕樹","信安段","583.0"
"","67","0629005","榕樹","信安段","583.0"
"","68","0629006","榕樹","信安段","342.0"
"","69","0629007","榕樹","信安段","342.0"
"","70","0629008","榕樹","信安段","342.0"
"","71","0629009","榕樹","信安段","342.0"
"","72","0629010","榕樹","信安段","580.0"
"","73","0629011","榕樹","信安段","580.0"
"","74","0629012","榕樹","信安段","342.0"
"","75","0629013","榕樹","信安段","346.0"
"","76","0629014","榕樹","信安段","346.0"
"","77","0629015","榕樹","信安段","346.0"
"","78","0629016","榕樹","信安段","346.0"
"","79","0629017","榕樹","信安段","346.0"
"","80","0629018","榕樹","信安段","346.0"
"","81","0629019","榕樹","信安段","346.0"
"","82","0629020","榕樹","信安段","346.0"
"","83","0629021","榕樹","信安段","346.0"
"","84","0630001","樟樹","福安段","222.0"
"","85","0631001","榕樹","民安段","536.0"
"","86","0631002","苦楝","民安段","1572.0"
"","87","0636001","芒果","廣福段","309.0"
"","88","0636002","榕樹","廣福段","650.0"
"","89","0636003","榕樹","廣福段","616.0"
"","90","0638001","榕樹","龍富段","91.0"
"","91","0638002","榕樹","龍門段","180"
"","92","0638004","榕樹","龍門段","180"
"","93","0638006","榕樹","龍門段","180"
"","94","0638007","榕樹","龍富段214、龍門段184",""
